text,pages,block_types
"闭合器
如果背门微开，则背门闭合器将自动关闭至完全关闭位置。
●发动机开关处于任何模式时，背门闭合器均可工作。
●即使背门闭合器正在工作，也可以使用背门开启开关打开背门。
■电动背门工作条件
如果满足下列条件，则电动背门可以自动打开和关闭。
●启用电动背门系统时。(P.359)
●发动机开关处于 ON时，除上述条件外，还必须满足下列任一条件 :
• 驻车制动器啮合。
• 踩下制动踏板。
• 换档杆置于 P 档。
■电动背门工作情况
●电动背门开始工作时，危险告警灯将闪烁两次，且蜂鸣器将鸣响。
●蜂鸣器鸣响，指示背门正在工作。
●禁用电动背门时，电动背门将不工作，但可以手动打开和关闭。
●电动背门打开/关闭过程中，如果电动背门受到阻碍，则工作将停止。
■防夹功能
传感器安装在电动背门左右两侧。车门自动关闭过程中，由于夹住物book.com体等导致传感器受到挤压时，防夹功能工作。
车门从该位置自动向反方向稍微移动，然后该功能停止。
■背门保持锁止功能
电动背门打开时，此功能保持其锁止功能。如果进行下列操作，则除电动背门外的所有车门将锁止，然后电动背门完全关闭时其将锁止。
1 关闭除背门外的所有车门。
2 执行电动背门自动关闭操作，并在电动背门关闭过程中使用
97
驾驶前",97,"aside_text,page_number,text"
"背门保持锁止功能
电动背门打开时，此功能保持其锁止功能。如果进行下列操作，则除电动背门外的所有车门将锁止，然后电动背门完全关闭时其将锁止。
1 关闭除背门外的所有车门。
2 执行电动背门自动关闭操作，并在电动背门关闭过程中使用
97
驾驶前
无线遥控 (P.88) 或智能进入和起动系统 (P.88) 锁止车门。蜂鸣器鸣响且危险告警灯闪烁，指示所有车门已关闭并锁止。
●如果在通过保持锁止功能开始关闭操作后将电子钥匙放在车内，则电子钥匙可能会锁在车内。
●保持锁止工作后，如果在背门自动关闭期间由于防夹功能工作等导致其未完全关闭，则保持锁止功能取消且所有车门将解锁。
●离开车辆前，请确保所有车门关闭并锁止。
■Kick传感器工作条件
●Kick传感器工作设定打开(P.359) 且发动机开关关闭时。
●携带电子钥匙位于工作检测区域内。
■免提式电动背门可能无法正常工作的情况 www.car
在下列情况下，免提式电动背门可能无法正常工作 :
●脚仍位于后保险杠下方时。
●如果用脚猛踢后保险杠或脚接触 后保险杠一段时间。
如果接触后保险杠一段时间，则在尝试再次操作免提式电动背门前，需等待一小段时间。
●过于靠近后保险杠站立时。
●外部无线电波源干扰电子钥匙和车辆之间的通信时。(P.104)
●车辆停在影响免提式电动背门灵敏度的电噪干扰源（如收费停车位、加油站、电加热道路或荧光灯）附近时。",98,text
"试再次操作免提式电动背门前，需等待一小段时间。
●过于靠近后保险杠站立时。
●外部无线电波源干扰电子钥匙和车辆之间的通信时。(P.104)
●车辆停在影响免提式电动背门灵敏度的电噪干扰源（如收费停车位、加油站、电加热道路或荧光灯）附近时。
●车辆靠近电视塔、发电厂、无线电台、大型显示屏、飞机场或其他产生强无线电波或电噪干扰的设施时。
●大量的水冲到后保险杠上，如洗车或下大雨时。
●后保险杠上附有污泥、雪、冰等 时。
●在可能会移动并接触到后保险杠的物体（例如植物）附近驻车一段时间时。
●后保险杠上加装附件时。
如果已安装附件，则关闭Kick 传感器工作设定。(P.359)
■防止免提式电动背门意外工作
电子钥匙处于工作检测区域时，免提式电动背门可能会意外工作，因此下列情况下请小心:
●大量的水冲到后保险杠上，如洗车或下大雨时。
●清除后保险杠上的污物时。
●小动物或小物体（例如球）在后保险杠下方移动时。ook.com
●物体从后保险杠下方移过时。
●如果有人坐在后保险杠上并晃动 双腿。
●如果某人经过车辆时，腿或身体的其他部位接触到后保险杠。
●车辆停在影响免提式电动背门灵敏度的电噪干扰源（如收费停车位、加油站、电加热道路或荧光灯）附近时。
●车辆靠近电视塔、发电厂、无线电台、大型显示屏、飞机场或其他产生强无线电波或电噪干扰的设施时。",98,text
"过车辆时，腿或身体的其他部位接触到后保险杠。
●车辆停在影响免提式电动背门灵敏度的电噪干扰源（如收费停车位、加油站、电加热道路或荧光灯）附近时。
●车辆靠近电视塔、发电厂、无线电台、大型显示屏、飞机场或其他产生强无线电波或电噪干扰的设施时。
●在后保险杠附近有植物等物体的地点附近驻车时。
●从车外将行李等放入行李厢或从行李厢取出行李时。
●如果在后保险杠附近安装/拆卸附件或拴缚/脱去车衣。
98
●附着在后保险杠内侧的雪融化 时。
为防止意外工作，请关闭 Kick传感器工作设定。(P.359)
■重新连接蓄电池时
手动关闭背门可使电动背门正常工作。
■如果背门开启开关不起作用
可从车内解锁背门。
1 拆下盖。
如图所示，为保护盖，请在平头螺丝刀和盖之间垫一块布。
<sub>2 逆时针转动螺钉以将其拧松。</sub>www.c
不带电动背门的车辆
带电动背门的车辆
3 逆时针转动盖。
不带电动背门的车辆
带电动背门的车辆
4 移动杆。使用平头螺丝刀移动杆。不带电动背门的车辆
带电动背门的车辆
5 按与上述相反的步骤安装。
■定制
可以定制某些功能。(P.359)
99
驾驶前
警告
■背门闭合器
●如果背门微开，则背门闭合器将自动关闭至完全关闭位置。背门闭合器开始工作前需要数秒时间。小心不要让背门夹到手指或其他任何物品，否则可能导致骨折或其他严重伤害。","98,99,100","aside_text,page_number,text"
"。
■定制
可以定制某些功能。(P.359)
99
驾驶前
警告
■背门闭合器
●如果背门微开，则背门闭合器将自动关闭至完全关闭位置。背门闭合器开始工作前需要数秒时间。小心不要让背门夹到手指或其他任何物品，否则可能导致骨折或其他严重伤害。
●使用背门闭合器时应小心谨慎，因其在电动背门系统禁用时仍可工作。
■电动背门
操作电动背门时，请遵守下列注意事项。否则可能导致严重伤害甚至死亡。
●检查周围区域的安全，确保没有障碍物或任何可能夹到您个人物品的东西。
●如果附近有人，请确保他们的安全并告知其即将打开或关闭背门。
●如果在电动背门工作时禁用电动背门系统，则背门将停止工作。然后必须手动操作背门。在此情况下应特别小心，因为背门可能会突然打开或关闭。
●如果不再满足电动背门工作条件 (P.97)，则蜂鸣器可能会鸣响，且背门可能会停止打开或关闭。然后必须手动操作背门。在斜坡上时应特别小心，因为背门可能会突然移动。
●在斜坡上，背门打开后可能会突然关闭。确保背门完全打开并固定。
●在下列情况下，电动背门可能会检测到异常，且自动工作可能会停止。在此情况下，必须手动操作背门。在此情况下应特别小心，因为停止的背门可能会突然打开或关闭，从而引发事故。
• 背门接触到障碍物时
• 蓄电池电压突然下降时，例如在自动工作期间将发动机开关
切换至ON 或起动发动机时ook.com",100,text
"作可能会停止。在此情况下，必须手动操作背门。在此情况下应特别小心，因为停止的背门可能会突然打开或关闭，从而引发事故。
• 背门接触到障碍物时
• 蓄电池电压突然下降时，例如在自动工作期间将发动机开关
切换至ON 或起动发动机时ook.com
●如果在背门上加装重物，则背门可能不工作，从而导致故障，或背门可能在打开后突然再次关闭，从而夹住人的手、胳膊、头部或颈部并造成伤害。请勿在背门上安装除丰田纯正零部件外的任何附件。
■防夹功能
请遵守下列注意事项。否则可能导致严重伤害甚至死亡。
●切勿故意夹住身体的任何部位激活防夹功能。
●如果背门即将完全关闭时夹住物体，则防夹功能可能不起作用。小心不要夹到手指或其他物品。
100
警告
●根据所夹到物体的形状，防夹功能可能不起作用。小心不要夹到手指或其他物品。
■免提式电动背门
操作免提式电动背门时，请遵守下列注意事项。否则可能导致严重伤害甚至死亡。
●检查周围区域的安全，确保没有障碍物或任何可能夹到您个人物品的东西。
●废气会导致排气管变得很烫。操作免提式电动背门时，小心不要触摸排气管。
●如果后保险杠下方的空间很 小，请勿操作免提式电动背 门。
●请勿将手放在背门轴上或对其施加横向力。
■防止背门闭合器故障
背门闭合器工作时，请勿向背门施加过大的力。施加过大的力可能导致背门闭合器故障。
■防止电动背门故障","100,101","page_number,text"
"不要触摸排气管。
●如果后保险杠下方的空间很 小，请勿操作免提式电动背 门。
●请勿将手放在背门轴上或对其施加横向力。
■防止背门闭合器故障
背门闭合器工作时，请勿向背门施加过大的力。施加过大的力可能导致背门闭合器故障。
■防止电动背门故障
●确保背门与门框之间没有妨碍背门移动的冰。背门上载荷过大时操作电动背门，可能会导致故障。
●背门工作时，请勿向电动背门施加过大的力。
●小心不要用小刀或其他锋利物体损坏传感器（安装在电动背门的左右边缘）。如果传感器断开，则电动背门将不能自动关闭。
注意
<sub>■免提式电动背门注意事项</sub>www.carobook.com
■背门轴
背门配备可将其固定到位的背门轴。
请遵守下列注意事项。否则可能损坏背门轴，从而导致故障。
●请勿将任何异物，如贴纸、塑料薄膜或粘合剂粘贴在背门轴上。
●请勿在背门上安装除丰田纯正零部件外的任何附件。
Kick传感器位于后保险杠背面下部中央部位。请遵守下列事项以确保免提式电动背门功能正常工作 :
●始终保持后保险杠下部中央部 位清洁。
如果后保险杠下部中央部位脏污或覆盖有雪，则 Kick传感器可能不工作。在此情况下，清除污物或雪，将车辆移至其他位置，然后检查 Kick传感器是否工作。如果不工作，请联系您的丰田汽车经销商检查车辆。
●请勿在后保险杠下部中央部位涂抹具有雨水清除（亲水）效果的涂层或其他涂层。
101",101,"page_number,text"
"则 Kick传感器可能不工作。在此情况下，清除污物或雪，将车辆移至其他位置，然后检查 Kick传感器是否工作。如果不工作，请联系您的丰田汽车经销商检查车辆。
●请勿在后保险杠下部中央部位涂抹具有雨水清除（亲水）效果的涂层或其他涂层。
101
驾驶前
注意
●请勿将车辆停在可能会移动并接触到后保险杠下部中央部位的物体（例如草丛或树木）附近。
如果将车辆停在可能会移动并接触到后保险杠下部中央部位的物体 例 草 或树木 附 段时间，则 Kick传感器可能不工作。在此情况下，将车辆移至其他位置，然后检查 Kick传感器是否工作。如果不工作，请联系您的丰田汽车经销商检查车辆。
●请勿强烈撞击 Kick传感器或其周围区域。
如果 Kick传感器或其周围区域受到强烈撞击，则 Kick传感器可能无法正常工作。
如果在下列情况下 Kick传感器不工作，请联系您的丰田汽车经www.ca销商检查车辆。
• Kick传感器或其周围区域受到过强烈撞击。
• 后保险杠下部中央部位刮擦或损坏。
●请勿拆解后保险杠。
●请勿在后保险杠上粘贴贴纸。
●请勿喷涂后保险杠。
●如果电动背门上加装重物，请禁用 Kick传感器。
启用/禁用电动背门系统（带电动背门的车辆）
可通过多信息显示屏启用/禁用电动背门系统。(P.359)
1 选择多信息显示屏上的。
2 按下仪表控制开关选择“ 车辆设定”，然后按住 。","101,102","aside_text,text"
"。
●如果电动背门上加装重物，请禁用 Kick传感器。
启用/禁用电动背门系统（带电动背门的车辆）
可通过多信息显示屏启用/禁用电动背门系统。(P.359)
1 选择多信息显示屏上的。
2 按下仪表控制开关选择“ 车辆设定”，然后按住 。
3 按下仪表控制开关选择“PBD”，然后按下 。
4 按下仪表控制开关选择“ 系统设定”。
5 按下 时，将在ON和OFF之间进行切换。
选择OFF 且通过多信息显示屏上的 停止电动背门工作时，除非设定为ON，否则电动背门的工作将不会恢复。（不恢复发动机开关工作状态）
调节背门打开位置（带电动背门的车辆）
可以调节电动背门的打开位置。
1 将电动背门停在所需位置。(P.95)
2 按住背门上的电动背门开关约2秒。
• 设定完成后，蜂鸣器将鸣响4 次。
• 下次打开电动背门时，其将
102
停在该位置。
■将电动背门开启位置恢复为默认设定
按住背门上的电动背门开关约 7秒。
蜂鸣器将鸣响 4次，暂停，然后再鸣响 2次。下次打开电动背门时，其将停在默认位置。
■通过多信息显示屏设定背门打开位置时
可使用多信息显示屏调节电动背门的打开位置。(P.359)
打开时，电动背门将打开至最新设定的位置（使用背门上的电动背门开关或通过多信息显示屏设定的位置）。
智能进入和起动系统","102,103","page_number,text"
"门时，其将停在默认位置。
■通过多信息显示屏设定背门打开位置时
可使用多信息显示屏调节电动背门的打开位置。(P.359)
打开时，电动背门将打开至最新设定的位置（使用背门上的电动背门开关或通过多信息显示屏设定的位置）。
智能进入和起动系统
只要随身携带电子钥匙，例如放在衣袋内，即可进行以下操作。驾驶员务必随身携带电子钥匙。
锁止和解锁车门（带进入 功能的车辆）(P.88)
● 起动发动机(→P.141)
■天线位置
车厢外部天线（带进入功能的车辆）
车厢内部天线
行李厢内部天线
行李厢外部天线■有效范围（可检测到电子钥匙的区域）
103
驾驶前
锁止或解锁车门时（带进入功能的车辆）
电子钥匙在距前门外把手和背门约0.7 m（米）的范围内时，系统可工作。（仅能操作检测到钥匙的车门。）
起动发动机或切换发动机开关模式时
电子钥匙置于车内时，可对系统进行操作。
■警报和警告信息 www.caro
警报鸣响且多信息显示屏上显示警告信息，以防止由于错误操作而导致的意外事故或车辆被盗。显示警告信息时，请根据所显示的信息采取适当的措施。
下表列出了仅警报持续鸣响时的各种情况和应对措施。
■电池节电功能（带进入功能的车辆）
车辆长时间闲置时，电池节电功能将激活，以防电子钥匙电池和车辆蓄电池电量耗尽。
●在下列情况下，智能进入和起动系统可能需要一些时间来解锁车门。","103,104","aside_text,page_number,text"
"适当的措施。
下表列出了仅警报持续鸣响时的各种情况和应对措施。
■电池节电功能（带进入功能的车辆）
车辆长时间闲置时，电池节电功能将激活，以防电子钥匙电池和车辆蓄电池电量耗尽。
●在下列情况下，智能进入和起动系统可能需要一些时间来解锁车门。
• 电子钥匙置于车外约 3.5 m（米）的范围内达 2分钟或更长时间。
• 未使用智能进入和起动系统达 5天或更长时间。
如果未使用智能进入和起动系统达 14天或更长时间，则无法解锁除驾驶员车门外的任何车门。在此情况下，握住驾驶员车门把手，或使用无线遥控或机械钥匙解锁车门。
■电子钥匙电池节电功能
设定为电池节电模式时，电子钥匙将停止接收无线电波，以将电池耗电量降至最低。
<sub>按住</sub> <sub>的同时按下</sub> <sub>两次。确</sub>book.com认电子钥匙指示灯闪烁4次。
设定为电池节电模式时，无法使用智能进入和起动系统。按下电子钥匙的任一按钮可取消此功能。
■影响工作的情况
智能进入和起动系统使用弱无线电波。在下列情况下，电子钥匙和车辆之间的通信可能会受到影响，从而妨碍智能进入和起动系统、无线遥控和发动机停机系统正常工作。
●电子钥匙电池电量耗尽时●靠近电视塔、发电厂、加油站、无线电台、大型显示屏、飞机场或其他产生强无线电波或电噪干扰的设施时
104
●携带便携式收音机、移动电话、无绳电话或其他无线通信设备时","104,105","page_number,text"
"进入和起动系统、无线遥控和发动机停机系统正常工作。
●电子钥匙电池电量耗尽时●靠近电视塔、发电厂、加油站、无线电台、大型显示屏、飞机场或其他产生强无线电波或电噪干扰的设施时
104
●携带便携式收音机、移动电话、无绳电话或其他无线通信设备时
●以下金属物体接触或覆盖电子钥匙时
• 附有铝箔的卡片
• 内侧附有铝箔的香烟盒
• 金属质地的钱夹或包
• 硬币
• 金属材料暖手器
• CD 和 DVD 等介质
●车辆附近有其他无线遥控钥匙（发射无线电波）正在使用时
●同时携带电子钥匙与下列发射无线电波的设备时
• 发射无线电波的另一车辆的电子钥匙或无线遥控钥匙
• 个人计算机或个人数字助理www.carob(PDA)
• 数字音频播放机
• 便携式游戏系统
●后车窗上粘附有含金属成分的车 窗贴膜或金属物体时
●电子钥匙在电池充电器或电子设备附近时
●车辆停放在发射无线电波的收费 停车位时
如果使用智能进入和起动系统 法锁止/解锁车门，则执行以下任一操作锁止/解锁车门（带进入功能的车辆）:
●让电子钥匙靠近任一前门把手并操作进入功能。
●操作无线遥控功能。
如果使用上述方法无法锁止/解锁车门，则使用机械钥匙。(P.336)如果使用智能进入和起动系统无法起动发动机，请参见 P.337。
■进入功能（若装备）注意事项",105,text
"的车辆）:
●让电子钥匙靠近任一前门把手并操作进入功能。
●操作无线遥控功能。
如果使用上述方法无法锁止/解锁车门，则使用机械钥匙。(P.336)如果使用智能进入和起动系统无法起动发动机，请参见 P.337。
■进入功能（若装备）注意事项
●在下列情况下，即使电子钥匙处于有效范围（检测区域）内，系统仍可能无法正常工作 :
• 锁止或解锁车门时，电子钥匙过于靠近车窗或门外把手、距地面过近或位置过高。
• 起动发动机或切换发动机开关模式时，电子钥匙在仪表板、后窗台板或地板上，或置于车门储物夹或手套箱内。
●下车时，请勿将电子钥匙遗忘在仪表板上或车门储物夹附近。根据无线电波接收状况，车厢外部天线可能会检测到电子钥匙，从而可从车外锁止车门，在此情况下，可能将电子钥匙锁在车内。
●只要电子钥匙处于有效范围内，任何人都可锁止或解锁车门。但是，只有检测到电子钥匙的车门ook.com可用于解锁车辆。
●如果电子钥匙靠近车窗，即使不在车内，也可能起动发动机。
●电子钥匙处于有效范围内时，如果有大量的水溅到车门把手上如下雨或洗车时，车门可能解锁或锁止。（如果未打开和关闭车门，则车门将在约 30秒后自动锁止。）
●如果在电子钥匙靠近车辆时使用无线遥控锁止车门，则可能无法使用进入功能解锁车门。（请使用无线遥控解锁车门。）
●佩戴手套触摸车门锁止或解锁传 感器可能会影响锁止或解锁操 作。",105,text
"锁止。（如果未打开和关闭车门，则车门将在约 30秒后自动锁止。）
●如果在电子钥匙靠近车辆时使用无线遥控锁止车门，则可能无法使用进入功能解锁车门。（请使用无线遥控解锁车门。）
●佩戴手套触摸车门锁止或解锁传 感器可能会影响锁止或解锁操 作。
●使用锁止传感器进行锁止操作时，识别信号最多连续显示两次。此后，将不再显示识别信号。
105
驾驶前
●如果电子钥匙处于有效范围内时弄湿车门把手，则车门可能会反复锁止和解锁。在此情况下，请按照以下应对措施清洗车辆:
• 将电子钥匙置于距车辆2 m（米）或更远的位置。（小心，确保钥匙不会被盗。）
• 将电子钥匙设定为电池节电模式以禁用智能进入和起动系统。(P.104)
●洗车过程中，如果电子钥匙置于车内且车门把手变湿，则多信息显示屏上可能会显示信息。锁止所有车门可清除信息。
●如果锁止传感器接触到冰、雪、污泥等，则其可能无法正常工作。清洁锁止传感器并尝试再次操作。
●进入有效范围后突然或立刻操作车门把手，可能无法解锁车门。触摸车门解锁传感器，并在再次拉动车门把手前检查并确认车门解锁。
●如果在检测区域内有另一电子钥匙，则握住车门把手后可能需要稍长时间才能解锁车门。
■长时间停放车辆时
●为防止车辆被盗，请勿将电子钥匙置于距车辆2 m（米）的范围内。
●可预先禁用智能进入和起动系统。(P.359)","105,106","aside_text,page_number,text"
"前检查并确认车门解锁。
●如果在检测区域内有另一电子钥匙，则握住车门把手后可能需要稍长时间才能解锁车门。
■长时间停放车辆时
●为防止车辆被盗，请勿将电子钥匙置于距车辆2 m（米）的范围内。
●可预先禁用智能进入和起动系统。(P.359)
●将电子钥匙设定为电池节电模式有助于减少钥匙电池电量损耗。(P.104)
■正确操作系统
●操作系统时确保随身携带电子钥匙。在车外操作系统时，请勿让电子钥匙过于靠近车辆。
由于电子钥匙的位置和握持方式不同，可能无法正确检测到钥匙，且系统可能无法正常工作。（警报可能意外鸣响或车门防误锁功能可能无法工作。）
■如果智能进入和起动系统不能正常工作
●锁止和解锁车门（带进入功能的 车辆）:P.336
●起动发动机 :P.337
■定制
可以定制某些功能。(P.359)
■如果定制设定中已禁用智能进入和起动系统
●锁止和解锁车门（带进入功能的车辆）: 使用无线遥控或机械钥匙。(P.88, 336)
●起动发动机和切换发动机开关模式 :P.337
●停止发动机 :P.142obook.com
警告
■与电子设备干扰有关的注意事项",106,text
"进入和起动系统
●锁止和解锁车门（带进入功能的车辆）: 使用无线遥控或机械钥匙。(P.88, 336)
●起动发动机和切换发动机开关模式 :P.337
●停止发动机 :P.142obook.com
警告
■与电子设备干扰有关的注意事项
使用植入式心脏起搏器、心脏再同步治疗起搏器或植入式心脏复律除颤器的人士应与智能进入和起动系统的天线保持适当距离。(P.103)无线电波可能会影响此类设备的工作。必要时，可禁用进入功能。有关无线电波频率和无线电波发射时间等信息的详情，请咨询您的丰田汽车经销商。然后，向医生咨询是否应禁用进入功能。
106
警告
●对于未使用植入式心脏起搏器、心脏再同步治疗起搏器或植入式心脏复律除颤器，而使用其他电子医疗设备的人士应向设备制造商咨询无线电波对设备工作的影响情况。无线电波可能会对此类医疗设备的工作产生难以预料的影响。
有关禁用进入功能的详情，请咨询您的丰田汽车经销商。
www.carobook.com
107
驾驶前
前排座椅
调节步骤
 手动座椅
座椅位置调节杆
<sub>座椅靠背倾角调节杆</sub>www.carob
垂直高度调节杆（仅驾驶员侧）
 电动座椅（仅驾驶员侧）
座椅位置调节开关
座椅靠背倾角调节开关
垂直高度调节开关
腰部支撑调节开关
警告
■调节座椅位置时
●调节座椅位置时应小心，确保移动座椅时不会伤及其他乘员。","106,107,108","aside_text,page_number,text"
"ub>www.carob
垂直高度调节杆（仅驾驶员侧）
 电动座椅（仅驾驶员侧）
座椅位置调节开关
座椅靠背倾角调节开关
垂直高度调节开关
腰部支撑调节开关
警告
■调节座椅位置时
●调节座椅位置时应小心，确保移动座椅时不会伤及其他乘员。
●请勿将手放在座椅下方或移动零件附近以免受伤。座椅机构可能会夹住手指或手。
●确保脚部留有足够空间，以防卡脚。
■座椅调节
●小心座椅不要撞到乘员或行李。
●请勿过度倾斜座椅，以降低碰撞过程中身体从腰部安全带滑ook.com出的风险。
如果座椅过度倾斜，则腰部安全带可能会滑过髋部而直接勒住腹部 或肩部安全带 能触及颈部，从而增加发生事故时导致严重伤害甚至死亡的风险。
行驶过程中请勿调节座椅，否则座椅可能意外移动，导致驾驶员失去对车辆的控制。
●仅手动座椅: 调节座椅后，确保座椅锁定到位。
注意
■调节前排座椅时
调节前排座椅时，请确保头枕不会触及车顶内衬。否则，可能损坏头枕和车顶内衬。
108
后排座椅
操作调节杆可调节座椅靠背倾角和折叠座椅靠背。
调节步骤
拉动座椅靠背倾角调节杆并调节座椅靠背倾角。
■座椅调节
请勿过度倾斜座椅，以降低碰撞过程中身体从腰部安全带滑出的风险。
如果座椅过度倾斜，则腰部安全带可能会滑过髋部而直接勒住腹部，或肩部安全带可能触及颈部，从而增加发生事故时导致严重伤害甚至死亡的风险。","108,109","page_number,text"
"倾角调节杆并调节座椅靠背倾角。
■座椅调节
请勿过度倾斜座椅，以降低碰撞过程中身体从腰部安全带滑出的风险。
如果座椅过度倾斜，则腰部安全带可能会滑过髋部而直接勒住腹部，或肩部安全带可能触及颈部，从而增加发生事故时导致严重伤害甚至死亡的风险。
行驶过程中请勿调节座椅，否则座椅可能意外移动，导致驾驶员失去对车辆的控制。
折叠后排座椅靠背
1 向前移前排座椅。 (P.108)
2 收起后排手枕。（若装备）(P.259)
警告
■操作座椅靠背时
<sub>3 收起后排中间座椅安全带</sub>www.carobook.com带扣。
请遵守下列注意事项。否则可能导致严重伤害甚至死亡。
●请勿让座椅靠背撞到其他乘员。
●请勿将手放到移动零件附近或座椅之间，同时小心不要夹住身体的任何部位。
●调节座椅后，确保座椅锁定到位。
4 将头枕降至最低位置。 (P.111)
5 拉动座椅靠背倾角调节杆的同时折叠座椅靠背。
109
驾驶前
可分别折叠各座椅靠背。
警告
请遵守 列注意事项 否则可能导致严重伤害甚至死亡。
■折叠后排座椅靠背时
●行驶过程中请勿折叠座椅靠背。
●将车辆停放在水平地面上，设定驻车制动并将换档杆换至 P档。
www.carobook.com
●行驶过程中请勿让任何人坐在折叠的座椅靠背上或行李厢内。
●请勿让儿童进入行李厢。
●如果后排座椅上有乘员，则请勿操作后排座椅。","109,110","aside_text,page_number,text"
"折叠座椅靠背。
●将车辆停放在水平地面上，设定驻车制动并将换档杆换至 P档。
www.carobook.com
●行驶过程中请勿让任何人坐在折叠的座椅靠背上或行李厢内。
●请勿让儿童进入行李厢。
●如果后排座椅上有乘员，则请勿操作后排座椅。
●操作期间，小心不要让座椅的移动零件或连接部位卡住脚或手。
●折叠后排座椅靠背前调节前排座椅的位置，以便在折叠后排座椅靠背时前排座椅不会妨碍后排座椅靠背。
●请勿让儿童操作座椅。
■将后排座椅靠背回位至直立位置后
●前后轻轻推动座椅靠背，确保其牢固锁定到位。
●检查并确认座椅安全带未扭曲或卡在座椅靠背内。
如果座椅安全带卡在座椅靠背固定钩和搭扣之间，则可能损坏座椅安全带。
110
头枕
所有座椅均配备头枕。
警告
■头枕的注意事项
请遵守下列与头枕有关的注意事项。否则可能导致严重伤害甚至死亡。
●请使用为各座椅专门设计的头枕。
●始终将头枕调节至正确位置。
●调节头枕后，向下按压头枕，确保其锁定到位。
●拆下头枕时，请勿驾驶车辆。
调节头枕
■ 前排座椅
1 上向上拉头枕。
2 下
按下锁定释放按钮 的同时向下按压头枕。
后排外侧座椅
1 上向上拉头枕。
2 下
按下锁定释放按钮 的同时向下按压头枕。
■ 后排中间座椅
1 上
2 下
按下锁定释放按钮 的同时向下按压头枕。
■调节头枕的高度（前排座椅）调节头枕时，确保头枕中心与耳朵上部齐平。","110,111","page_number,text"
"向下按压头枕。
后排外侧座椅
1 上向上拉头枕。
2 下
按下锁定释放按钮 的同时向下按压头枕。
■ 后排中间座椅
1 上
2 下
按下锁定释放按钮 的同时向下按压头枕。
■调节头枕的高度（前排座椅）调节头枕时，确保头枕中心与耳朵上部齐平。
111
驾驶前
■调节后排座椅头枕
使用头枕时，始终将其从收起位置升高一级。
拆卸头枕
■ 前排座椅
按下锁定释放按钮 的同时向上拉头枕。
■ 后排外侧座椅
按下锁定释放按钮 的同时向上拉头枕。
后排中间座椅
按下锁定释放按钮 的同时向上拉头枕。
安装头枕
■ 前排座椅
将头枕与安装孔对准并将头枕向下推至锁止位置。
按住锁定释放按钮 的同时降低
■ 后排外侧座椅
将头枕与安装孔对准并将头枕向下推至锁止位置。
按住锁定释放按钮 的同时降低头枕。
112
■ 后排中间座椅
将头枕与安装孔对准并将头枕向下推至锁止位置。
按住锁定释放按钮 的同时降低头枕。
驾驶前
113
方向盘
调节步骤
1 握住方向盘并向下推释放杆。
2 沿水平和垂直方向移动方向盘，将其调节至理想位置。
警告
■驾驶过程中的注意事项
驾驶过程中请勿调节方向盘。否则可能造成驾驶员误操作车辆并引发事故，从而导致严重伤害甚至死亡。
■调节方向盘后
确保方向盘牢固锁止。
否则，方向盘可能会突然移动从而引发事故并导致严重伤害甚至死亡。此外，如果方向盘未牢固锁止，则喇叭可能不响。
喇叭","111,112,113,114","aside_text,page_number,text"
"过程中请勿调节方向盘。否则可能造成驾驶员误操作车辆并引发事故，从而导致严重伤害甚至死亡。
■调节方向盘后
确保方向盘牢固锁止。
否则，方向盘可能会突然移动从而引发事故并导致严重伤害甚至死亡。此外，如果方向盘未牢固锁止，则喇叭可能不响。
喇叭
要鸣响喇叭，按下 标记或其周围区域。
114
内后视镜
可调节后视镜的位置以充分看清后方视野。
调节后视镜的高度
可调节后视镜的高度以适应驾驶姿势。
上下移动后视镜以调节高度。
正常位置
防眩目位置
www.carobook.com
警告
■驾驶过程中的注意事项
驾驶过程中请勿调节后视镜位置。
否则可能因操控失误而引发事故，从而导致严重伤害甚至死亡。
防眩目功能
通过操作控制杆可减弱后方车辆前照灯的反光。
115
驾驶前
外后视镜
可调节后视镜的位置以充分看清后方视野。
■寒冷天气下使用外后视镜时
天气寒冷且外后视镜冻结时，可能无法折叠/展开外后视镜或调节后视镜镜面。清除覆盖在外后视镜上的冰、雪等。
警告
■驾驶时的要点
驾驶过程中请遵守下列注意事项。
否则可能会导致车辆失控并引发事故，从而造成严重伤害甚至死亡。
●驾驶过程中请勿调节后视镜。www.ca
●请勿在后视镜折叠的情况下驾驶车辆。
●驾驶前必须展开驾驶员和乘员侧后视镜并进行适当调节。
调节步骤
1 转动开关选择要调节的后视镜。
2 操作开关调节后视镜。
■后视镜角度的调节条件","114,115,116","aside_text,page_number,text"
